'y-axis saved as y
'x,NN_StartingMaterials_Ba(NO3)2.raw
26.6338712,12
26.652457,12
26.6710428,19
26.6896286,13
26.7082144,8
26.7268002,14
26.745386,12
26.7639718,11
26.7825576,16
26.8011434,18
26.8197292,15
26.838315,17
26.8569008,14
26.8754866,20
26.8940724,20
26.9126582,28
26.931244,32
26.9498298,49
26.9684156,39
26.9870014,51
27.0055872,59
27.024173,46
27.0427588,27
27.0613446,47
27.0799304,26
27.0985162,18
27.117102,19
27.1356878,19
27.1542736,17
27.1728594,10
27.1914452,12
27.210031,11
27.2286168,16
27.2472026,13
27.2657884,17
27.2843742,12
27.30296,11
27.3215458,15
27.3401316,10
27.3587174,17
27.3773032,12
27.395889,11
27.4144748,13
27.4330606,15
27.4516464,20
27.4702322,14
27.488818,13
27.5074038,10
27.5259896,9
27.5445754,17
27.5631612,13
27.581747,12
27.6003328,6
27.6189186,21
27.6375044,11
27.6560902,15
27.674676,14
27.6932618,18
27.7118476,13
27.7304334,11
27.7490192,18
27.767605,16
27.7861908,9
27.8047766,17
27.8233624,11
27.8419482,12
27.860534,11
27.8791198,13
27.8977056,22
27.9162914,11
27.9348772,19
27.953463,17
27.9720488,12
27.9906346,11
28.0092204,12
28.0278062,14
28.046392,18
28.0649778,12
28.0835636,12
28.1021494,12
28.1207352,11
28.139321,18
28.1579068,11
28.1764926,13
28.1950784,11
28.2136642,14
28.23225,10
28.2508358,8
28.2694216,8
28.2880074,15
28.3065932,9
28.325179,8
28.3437648,11
28.3623506,11
28.3809364,13
28.3995222,13
28.418108,12
28.4366938,18
28.4552796,17
28.4738654,5
28.4924512,6
28.511037,10
28.5296228,17
28.5482086,11
28.5667944,15
28.5853802,9
28.603966,16
28.6225518,13
28.6411376,17
28.6597234,11
28.6783092,16
28.696895,9
28.7154808,7
28.7340666,14
28.7526524,15
28.7712382,17
28.789824,12
28.8084098,13
28.8269956,9
28.8455814,12
28.8641672,13
28.882753,20
28.9013388,13
28.9199246,18
28.9385104,10
28.9570962,17
28.975682,16
28.9942678,4
29.0128536,16
29.0314394,11
29.0500252,15
29.068611,12
29.0871968,12
29.1057826,12
29.1243684,20
29.1429542,14
29.16154,8
29.1801258,15
29.1987116,7
29.2172974,11
29.2358832,20
29.254469,14
29.2730548,16
29.2916406,9
29.3102264,13
29.3288122,16
29.347398,19
29.3659838,11
29.3845696,16
29.4031554,11
29.4217412,16
29.440327,13
29.4589128,16
29.4774986,12
29.4960844,7
29.5146702,12
29.533256,8
29.5518418,18
29.5704276,13
29.5890134,14
29.6075992,8
29.626185,10
29.6447708,12
29.6633566,24
29.6819424,12
29.7005282,7
29.719114,10
29.7376998,9
29.7562856,17
29.7748714,13
29.7934572,16
29.812043,14
29.8306288,21
29.8492146,15
29.8678004,9
29.8863862,21
29.904972,20
29.9235578,18
29.9421436,13
29.9607294,17
29.9793152,21
29.997901,13
30.0164868,11
30.0350726,22
30.0536584,13
30.0722442,13
30.09083,20
30.1094158,20
30.1280016,16
30.1465874,11
30.1651732,5
30.183759,9
30.2023448,10
30.2209306,12
30.2395164,8
30.2581022,11
30.276688,17
30.2952738,9
