wavelength,"(174, 3052)","(180, 3085)","(143, 3166)","(158, 3222)","(170, 3189)","(161, 3058)","(173, 3138)","(146, 3174)","(159, 3142)","(149, 3109)","(149, 3085)"
602.814,0.692973,0.641211,0.662708,0.482726,0.464297,0.534658,0.599241,0.700431,0.64984,0.622719,0.582889
604.44,0.711626,0.656244,0.675379,0.493132,0.462461,0.547049,0.604021,0.711617,0.651759,0.626747,0.583168
606.067,0.711479,0.640598,0.672924,0.487184,0.468368,0.55282,0.607218,0.705788,0.655055,0.636793,0.587098
607.694,0.706912,0.662576,0.692402,0.502192,0.469,0.557254,0.607266,0.695504,0.665326,0.643584,0.596416
609.321,0.704168,0.67289,0.684942,0.499479,0.466969,0.556606,0.610159,0.713923,0.661762,0.651218,0.592292
610.947,0.725259,0.689498,0.689676,0.504991,0.479629,0.55863,0.616292,0.724042,0.664638,0.656975,0.613276
612.574,0.722758,0.686421,0.691526,0.499068,0.48636,0.573003,0.625525,0.717271,0.666009,0.652034,0.610211
614.201,0.736217,0.687826,0.708848,0.514263,0.478336,0.575662,0.627062,0.726164,0.677,0.665919,0.629026
615.828,0.731736,0.679102,0.699183,0.509133,0.484977,0.57242,0.641976,0.731735,0.671908,0.665745,0.607914
617.454,0.744557,0.68621,0.712997,0.509487,0.484759,0.577229,0.649446,0.742197,0.679958,0.664858,0.614305
619.081,0.738312,0.69093,0.726928,0.532644,0.483508,0.582677,0.634894,0.748333,0.692757,0.663979,0.625261
620.708,0.739415,0.698985,0.728312,0.529459,0.482119,0.594206,0.645501,0.758271,0.694319,0.684389,0.63026
622.334,0.738973,0.68787,0.730935,0.518832,0.48253,0.585418,0.640419,0.752518,0.699929,0.697417,0.641072
623.961,0.753432,0.698733,0.735133,0.538602,0.495959,0.593247,0.659087,0.749913,0.693532,0.702087,0.646821
625.588,0.760331,0.702448,0.726402,0.532221,0.496081,0.594149,0.646848,0.751988,0.696543,0.699855,0.635801
627.215,0.753549,0.694734,0.740805,0.536376,0.496999,0.602228,0.656078,0.759937,0.709458,0.702109,0.647652
628.841,0.767916,0.706031,0.734826,0.542161,0.502397,0.605931,0.652517,0.758976,0.714127,0.707084,0.634486
630.468,0.756386,0.712127,0.735722,0.537562,0.493603,0.612852,0.665528,0.762749,0.722014,0.705709,0.654783
632.095,0.769791,0.713659,0.745475,0.541528,0.504666,0.61128,0.658266,0.765087,0.702269,0.711908,0.655404
633.722,0.754037,0.724816,0.753432,0.54692,0.509199,0.608693,0.659705,0.762506,0.720888,0.71773,0.642083
635.348,0.768494,0.745986,0.757375,0.554511,0.514558,0.612997,0.674211,0.770376,0.721187,0.721828,0.646927
636.975,0.772341,0.722736,0.761863,0.552276,0.513054,0.613453,0.679847,0.778519,0.722422,0.717759,0.66202
638.602,0.779892,0.733431,0.76979,0.558889,0.506273,0.612211,0.679464,0.798031,0.724312,0.727237,0.672437
640.229,0.776027,0.728535,0.774066,0.552145,0.515085,0.623956,0.662688,0.790126,0.72918,0.730701,0.663804
641.855,0.785926,0.743999,0.79068,0.566307,0.51424,0.629288,0.680468,0.784407,0.732334,0.737156,0.661485
643.482,0.769473,0.733493,0.782239,0.569765,0.521066,0.645989,0.680644,0.789918,0.738087,0.733929,0.665734
645.109,0.795612,0.734151,0.7862,0.562265,0.521423,0.634098,0.683078,0.794305,0.735211,0.743853,0.679762
646.736,0.789608,0.747471,0.781463,0.56843,0.522897,0.639596,0.688739,0.806516,0.754955,0.745128,0.679057
648.362,0.796479,0.736448,0.779027,0.572678,0.530957,0.648932,0.698283,0.806922,0.741341,0.749011,0.686276
649.989,0.793019,0.757542,0.80086,0.572079,0.531708,0.652248,0.706061,0.80752,0.751084,0.753334,0.687659
651.616,0.797328,0.74805,0.794846,0.572596,0.531945,0.641847,0.700923,0.828232,0.760085,0.746175,0.69469
653.243,0.805382,0.760157,0.784681,0.591777,0.536164,0.649351,0.696099,0.817835,0.759649,0.762829,0.69415
654.869,0.812316,0.74311,0.803402,0.589361,0.532056,0.655765,0.708674,0.820091,0.769152,0.762516,0.693278
656.496,0.812202,0.758637,0.802621,0.585079,0.543507,0.665443,0.714751,0.828929,0.755635,0.761609,0.699985
658.123,0.822626,0.749007,0.817132,0.5851,0.53492,0.67723,0.715081,0.839373,0.778695,0.783911,0.710847
659.75,0.811933,0.765095,0.810667,0.579197,0.525094,0.668041,0.720857,0.828902,0.77013,0.775732,0.704789
661.376,0.808826,0.763679,0.816105,0.591664,0.536753,0.675841,0.709196,0.828648,0.775718,0.774136,0.709378
663.003,0.816221,0.76994,0.833211,0.591582,0.541692,0.665861,0.720083,0.836521,0.765099,0.778062,0.706879
664.63,0.820594,0.762622,0.824377,0.591681,0.549747,0.648466,0.727583,0.834288,0.77283,0.77756,0.718818
666.256,0.825001,0.78146,0.82477,0.597452,0.548466,0.668619,0.711848,0.835363,0.783744,0.787123,0.707871
667.883,0.828045,0.772481,0.826331,0.598082,0.547471,0.666462,0.71992,0.840028,0.777759,0.77554,0.705216
669.51,0.840823,0.762278,0.829474,0.612875,0.545997,0.67424,0.732967,0.851871,0.782256,0.783968,0.726248
671.137,0.843713,0.784511,0.843878,0.603607,0.548306,0.672449,0.727017,0.839912,0.801325,0.788575,0.711249
672.763,0.833333,0.785315,0.840658,0.612984,0.542967,0.676932,0.722419,0.859305,0.794158,0.788329,0.716417
674.39,0.843499,0.800009,0.831151,0.619579,0.548846,0.684233,0.731181,0.864912,0.790066,0.783944,0.719292
676.017,0.841281,0.773661,0.831566,0.608444,0.547367,0.688983,0.729019,0.861048,0.791209,0.798643,0.722073
677.644,0.846829,0.783366,0.839701,0.613123,0.559476,0.688256,0.740742,0.873863,0.791696,0.801062,0.726596
679.27,0.850136,0.786987,0.846309,0.627963,0.549689,0.699278,0.734796,0.854928,0.797724,0.799995,0.735294
680.897,0.846734,0.785714,0.852331,0.61764,0.557343,0.685525,0.744382,0.868276,0.798207,0.779507,0.736421
682.524,0.852173,0.788451,0.850543,0.625415,0.556645,0.691238,0.738459,0.859808,0.802371,0.802788,0.724992
684.151,0.846306,0.828365,0.850812,0.61843,0.566637,0.694187,0.742128,0.874616,0.81352,0.803625,0.749038
685.777,0.860856,0.800517,0.843608,0.611083,0.563983,0.693082,0.733935,0.871861,0.800646,0.816005,0.731075
687.404,0.866897,0.805366,0.849334,0.622856,0.566901,0.698234,0.738719,0.872114,0.812215,0.815295,0.747369
689.031,0.866412,0.800136,0.865828,0.624391,0.57583,0.703093,0.752313,0.879396,0.797144,0.815287,0.756128
