wavelength,"(877, 2902)","(845, 3248)","(815, 3120)","(851, 3113)","(822, 3072)","(851, 3182)","(790, 3304)","(842, 3010)","(860, 3073)","(842, 2948)"
619.081,0.611694,0.612796,0.55753,0.67649,0.770343,0.83833,0.699247,0.624087,0.583791,0.795078
620.708,0.615409,0.613702,0.554772,0.671445,0.770231,0.841872,0.693165,0.625955,0.595256,0.811914
622.334,0.633265,0.630332,0.567832,0.679436,0.766317,0.841538,0.705202,0.640864,0.600953,0.803013
623.961,0.634298,0.635989,0.576656,0.68539,0.783072,0.855149,0.715506,0.648975,0.605756,0.805088
625.588,0.640109,0.636208,0.562279,0.699793,0.774563,0.853581,0.700319,0.646069,0.606524,0.829289
627.215,0.638272,0.629192,0.571279,0.705562,0.779616,0.871407,0.71563,0.654667,0.611338,0.818786
628.841,0.644402,0.64565,0.573304,0.703277,0.793126,0.875531,0.71456,0.65937,0.614675,0.823298
630.468,0.646973,0.638331,0.577614,0.704097,0.796012,0.870612,0.719943,0.651723,0.61694,0.826671
632.095,0.647456,0.646128,0.580234,0.70957,0.795044,0.880718,0.719026,0.660428,0.616297,0.826232
633.722,0.65522,0.638863,0.584883,0.710622,0.807115,0.887619,0.725802,0.662726,0.617308,0.843525
635.348,0.657944,0.646926,0.580202,0.718149,0.812924,0.891503,0.725478,0.669472,0.620678,0.834099
636.975,0.663167,0.651715,0.5907,0.720566,0.812398,0.881564,0.73902,0.669885,0.629135,0.842696
638.602,0.664001,0.642112,0.586879,0.725091,0.804669,0.896391,0.746214,0.666527,0.633997,0.839659
640.229,0.672411,0.652618,0.585276,0.724945,0.826263,0.905936,0.739959,0.674699,0.637252,0.849502
641.855,0.661886,0.652836,0.592087,0.727613,0.824405,0.889709,0.750843,0.691592,0.632233,0.842818
643.482,0.659096,0.659057,0.593434,0.720791,0.832258,0.91168,0.749624,0.680967,0.638636,0.845218
645.109,0.658741,0.661334,0.596242,0.724919,0.831029,0.911981,0.753339,0.697901,0.650814,0.854682
646.736,0.680416,0.673809,0.6029,0.739244,0.840071,0.925934,0.755944,0.681877,0.644703,0.861038
648.362,0.675951,0.671362,0.607,0.737792,0.83778,0.91052,0.767716,0.696217,0.641966,0.8611
649.989,0.68267,0.668863,0.603417,0.737151,0.841538,0.924981,0.763959,0.697664,0.652853,0.86908
651.616,0.689428,0.667251,0.611486,0.736527,0.838712,0.912406,0.774337,0.700409,0.657468,0.867401
653.243,0.693164,0.665956,0.621082,0.735056,0.848131,0.918894,0.765586,0.697978,0.654548,0.871385
654.869,0.686643,0.67304,0.612195,0.753891,0.850598,0.936191,0.775204,0.713235,0.65194,0.876089
656.496,0.69317,0.667076,0.618089,0.751332,0.851888,0.936862,0.777139,0.720278,0.652476,0.874543
658.123,0.702674,0.675518,0.620594,0.757547,0.849823,0.938116,0.778785,0.704869,0.666378,0.882627
659.75,0.690152,0.678078,0.627339,0.7643,0.85111,0.951205,0.789993,0.706145,0.66914,0.877387
661.376,0.681765,0.686438,0.625218,0.756776,0.878614,0.958283,0.794431,0.71698,0.663575,0.889785
663.003,0.69886,0.678533,0.626422,0.758981,0.859188,0.954186,0.781474,0.721475,0.667697,0.886561
664.63,0.693807,0.683463,0.632022,0.766421,0.877598,0.955943,0.795245,0.728221,0.675915,0.88408
666.256,0.713462,0.688954,0.635252,0.765957,0.868067,0.952077,0.795581,0.727299,0.671412,0.892332
667.883,0.7155,0.685617,0.642008,0.776273,0.861753,0.962584,0.792786,0.731738,0.6799,0.886217
669.51,0.705217,0.689879,0.636333,0.770277,0.869476,0.968845,0.782448,0.729316,0.680567,0.893648
671.137,0.720268,0.698792,0.637091,0.781055,0.884366,0.971583,0.807989,0.73091,0.684441,0.898784
672.763,0.714435,0.696981,0.642756,0.769275,0.876143,0.970817,0.810363,0.747804,0.685244,0.900362
674.39,0.70399,0.694966,0.642354,0.775321,0.880452,0.98357,0.819253,0.739607,0.695034,0.900114
676.017,0.712,0.696885,0.639125,0.788223,0.878029,0.984289,0.820216,0.741985,0.70318,0.904732
677.644,0.715976,0.690518,0.648298,0.782911,0.891569,0.981897,0.805882,0.749175,0.694805,0.908587
679.27,0.728593,0.700215,0.648261,0.783742,0.88064,0.974487,0.806237,0.754132,0.690751,0.912786
680.897,0.727539,0.718357,0.644917,0.781335,0.891405,0.996651,0.81719,0.762014,0.713517,0.911615
682.524,0.733095,0.701488,0.654997,0.781366,0.896147,0.992159,0.819912,0.76469,0.706109,0.926591
684.151,0.734439,0.706955,0.654785,0.789972,0.886698,0.988961,0.821478,0.752922,0.697291,0.930571
685.777,0.745198,0.705967,0.660662,0.790689,0.899514,0.993185,0.82547,0.772245,0.708562,0.929702
687.404,0.74527,0.707658,0.659413,0.789176,0.895306,0.986921,0.838427,0.755677,0.700678,0.928652
