'y-axis saved as y
'x,ML_Wallace_04122019_1_NN_1_ZrP_CrucibleRetest_5-60_4min_BkgSubtracted.raw
14.664616,-3.49480438
14.6832018,12.7340698
14.7017876,25.9636612
14.7203734,2.19397736
14.7389592,4.42501831
14.757545,32.6567764
14.7761308,17.8892517
14.7947166,12.1224594
14.8133024,22.3563766
14.8318882,-10.4089737
14.850474,19.8263931
14.8690598,12.0624771
14.8876456,0.299285889
14.9062314,4.53681946
14.9248172,-7.22492981
14.943403,-10.9859543
14.9619888,8.00418854
14.9805746,-1.00495148
14.9991604,-2.0133667
15.0177462,8.97893524
15.036332,7.97196198
15.0549178,14.9657135
15.0735036,0.96018219
15.0920894,18.9553757
15.1106752,1.95128632
15.129261,9.94792175
15.1478468,12.9452744
15.1664326,-4.05664825
15.1850184,-8.0578537
15.2036042,1.94167328
15.22219,16.9419098
15.2407758,7.94287109
15.2593616,-4.05544281
15.2779474,26.9469681
15.2965332,0.950088501
15.315119,16.9539413
15.3337048,22.9585114
15.3522906,14.9638062
15.3708764,-7.03018188
15.3894622,13.9765549
15.408048,15.9840088
15.4266338,14.9921875
15.4452196,-2.99891663
15.4638054,-6.98929596
15.4823912,14.0210495
15.500977,7.03211212
15.5195628,7.04389954
15.5381486,5.05640411
15.5567344,3.06963348
15.5753202,12.08358
15.593906,8.09825134
15.6124918,30.1136475
15.6310776,0.129760742
15.6496634,15.1465912
15.6682492,0.164154053
15.686835,6.18242645
15.7054208,9.20143127
15.7240066,13.2211533
15.7425924,-0.758407593
15.7611782,18.2627563
15.779764,13.2846451
15.7983498,15.307251
15.8169356,11.3305817
15.8355214,-3.64537048
15.8541072,10.3794022
15.872693,8.4048996
15.8912788,17.4311142
15.9098646,11.458046
15.9284504,8.48571014
15.9470362,-15.4859161
15.965622,-7.51097107
15.9842078,0.464691162
16.0027936,-1.55892944
16.0213794,24.4181747
16.0399652,0.396003723
16.058551,28.3745575
16.0771368,9.3538208
16.0957226,24.3338165
16.1143084,25.3145294
16.1328942,-14.7040329
16.15148,9.27812195
16.1700658,15.260994
16.1886516,15.2445984
16.2072374,7.22891998
16.2258232,-3.78604126
16.244409,23.1997223
16.2629948,12.1862106
16.2815806,4.17341614
16.3001664,8.16134644
16.3187522,14.1499939
16.337338,0.13936615
16.3559238,-8.87054443
16.3745096,3.12026978
16.3930954,-8.88819122
16.4116812,-2.93618774
16.430267,18.0165329
16.4488528,5.96997833
16.4674386,0.92414856
16.4860244,5.87903595
16.5046102,-2.1653595
16.523196,18.7909775
16.5417818,24.748024
16.5603676,5.70580292
16.5789534,-9.33570099
16.5975392,20.6235123
16.616125,15.5834503
16.6347108,8.54411316
16.6532966,-5.49450684
16.6718824,-11.532402
16.6904682,7.43041992
16.709054,-1.60603333
16.7276398,5.35823059
16.7462256,5.3232193
16.7648114,3.2889328
16.7833972,15.2553635
16.801983,10.2225189
16.8205688,20.1903915
16.8391546,29.158989
16.8577404,40.1283035
16.8763262,-1.9016571
16.894912,14.0691071
16.9134978,-11.9594116
16.9320836,13.0127945
16.9506694,38.9857178
16.9692552,9.95936584
16.987841,22.9337311
17.0064268,18.9088211
17.0250126,5.8846283
17.0435984,-0.138832092
17.0621842,10.8384171
17.08077,14.816391
17.0993558,0.795089722
17.1179416,2.77450562
17.1365274,2.7546463
17.1551132,14.7355118
17.173699,52.7170944
17.1922848,21.6994019
17.2108706,2.68242645
17.2294564,16.6661682
17.2480422,6.6506424
17.266628,0.63583374
17.2852138,-2.37825775
17.3037996,16.6083755
17.3223854,9.59573364
17.3409712,-17.4161911
17.359557,10.5726013
17.3781428,21.5621262
17.3967286,9.55236816
17.4153144,27.5433273
17.4339002,11.5350113
17.452486,22.52742
17.4710718,25.520546
17.4896576,23.514389
17.5082434,25.5089645
17.5268292,16.5042496
17.545415,17.500267
17.5640008,7.49700165
17.5825866,-0.50554657
17.6011724,10.49263
17.6197582,14.4915314
17.638344,7.4911499
17.6569298,1.49149323
17.6755156,-7.50744629
17.6941014,-5.50566101
17.7126872,-0.50315094
17.731273,-0.499923706
17.7498588,5.50402069
17.7684446,-5.49131012
17.7870304,16.5140839
17.8056162,14.520195
17.824202,-7.47296906
17.8427878,-10.4654083
17.8613736,21.5428696
17.8799594,9.55186462
17.8985452,4.56158447
17.917131,9.57202911
17.9357168,-4.41680908
17.9543026,1.59507751
17.9728884,7.6076889
17.9914742,5.62101746
18.01006,11.6350632
18.0286458,15.6498337
18.0472316,12.665329
18.0658174,9.68154144
18.0844032,9.6984787
18.102989,8.71613312
18.1215748,10.7345123
18.1401606,10.7536163
18.1587464,10.7734375
18.1773322,-20.2060165
18.195918,2.81524658
18.2145038,21.8372269
18.2330896,15.8599396
18.2516754,21.8833694
18.2702612,14.9075165
18.288847,-16.0676117
18.3074328,9.95798492
18.3260186,14.9842987
18.3446044,-3.98866272
18.3631902,-8.96090698
18.381776,21.0675735
18.4003618,5.09677124
18.4189476,2.12669373
18.4375334,-3.842659
18.4561192,-2.81129456
18.474705,-3.77920532
18.4932908,4.25360107
18.5118766,12.2871323
18.5304624,2.32138062
18.5490482,0.35635376
18.567634,5.3920517
18.5862198,0.428466797
18.6048056,34.4656067
18.6233914,22.5034637
18.6419772,18.5420456
18.660563,-0.418655396
18.6791488,10.6213684
18.6977346,-0.337890625
18.7163204,6.70357513
18.7349062,15.7457657
18.753492,13.7886734
18.7720778,21.8323059
18.7906636,18.8766556
18.8092494,5.92173004
18.8278352,2.9675293
18.846421,-12.9859543
18.8650068,-2.00182343
18.8835926,18.9830246
18.9021784,13.9685898
18.9207642,23.9548874
18.93935,17.9418945
18.9579358,32.9296341
18.9765216,23.9180908
18.9951074,2.90726471
19.0136932,-6.10283661
19.032279,5.88778687
19.0508648,10.8791275
19.0694506,13.8711929
19.0880364,-1.13602448
19.1066222,7.85748291
19.125208,10.8517075
19.1437938,-7.1533432
19.1623796,12.8423309
19.1809654,15.8387222
19.1995512,9.83583832
19.218137,-1.16632843
19.2367228,21.8322296
19.2553086,12.8315125
19.2738944,19.8315125
19.2924802,-7.16777039
19.311066,16.8336716
19.3296518,15.8358383
19.3482376,14.8387222
19.3668234,2.84233093
19.3854092,2.8466568
19.403995,-8.14829254
19.4225808,6.85748291
19.4411666,1.86397552
19.4597524,-6.12880707
19.4783382,6.8791275
19.496924,12.8877869
19.5155098,17.8971634
19.5340956,6.90726471
19.5526814,2.91808319
19.5712672,-3.07036591
19.589853,3.94189453
19.6084388,4.95487976
19.6270246,27.9685898
19.6456104,-9.01698303
19.6641962,-5.00183105
19.682782,-19.9859543
19.7013678,6.01385498
19.7199536,-5.98561096
19.7385394,12.0156479
19.7571252,14.0176239
19.775711,12.0203171
19.7942968,15.023735
19.8128826,12.0278778
19.8314684,28.0327377
19.8500542,2.03832245
19.86864,0.0446243286
19.8872258,8.051651
19.9058116,5.05940247
19.9243974,5.06787109
19.9429832,13.0770645
19.961569,2.0869751
19.9801548,9.09761047
19.9987406,-5.89103699
20.0173264,15.1210403
20.0359122,9.13383484
20.054498,21.1473541
20.0730838,9.16159821
20.0916696,11.1765594
20.1102554,-3.80775452
20.1288412,23.2086487
20.147427,27.2257767
20.1660128,2.24362946
20.1845986,15.2621994
20.2031844,14.2814865
20.2217702,13.3014984
20.240356,10.3222351
20.2589418,2.34368896
20.2775276,-1.63413239
20.2961134,8.38877106
20.3146992,-0.587608337
20.333285,0.436729431
20.3518708,-6.53820801
20.3704566,-3.51242065
20.3890424,-15.4859161
20.4076282,4.51887512
20.426214,-3.47560883
20.4447998,14.5306244
20.4633856,9.5375824
20.4819714,8.54525757
20.5005572,12.5536575
20.519143,6.56277466
20.5377288,-13.4273758
20.5563146,0.583183289
20.5749004,22.5944672
20.5934862,22.6064758
20.612072,-1.38079834
20.6306578,20.6326523
20.6492436,27.6468277
20.6678294,9.66172028
20.6864152,22.67733
20.705001,17.6936646
20.7235868,7.71072388
20.7421726,-0.271499634
