'y-axis saved as y
'x,PDC_LDFZ_20201113_1_217_2_(PBF1_20201110)-4hr-PbTiO3-second-cut-of-grown-crystal.raw,Ycalc,Diff
15.9493928,5380,0,0
15.966528,5247,0,0
15.9836632,5321,0,0
16.0007984,5217,0,0
16.0179336,5200,0,0
16.0350688,5239,0,0
16.052204,5289,0,0
16.0693392,5216,0,0
16.0864744,5324,0,0
16.1036096,5224,0,0
16.1207448,5323,0,0
16.13788,5321,0,0
16.1550152,5358,0,0
16.1721504,5220,0,0
16.1892856,5290,0,0
16.2064208,5287,0,0
16.223556,5259,0,0
16.2406912,5194,0,0
16.2578264,5335,0,0
16.2749616,5364,0,0
16.2920968,5148,0,0
16.309232,5107,0,0
16.3263672,5285,0,0
16.3435024,5410,0,0
16.3606376,5189,0,0
16.3777728,5308,0,0
16.394908,5218,0,0
16.4120432,5255,0,0
16.4291784,5253,0,0
16.4463136,5278,0,0
16.4634488,5186,0,0
16.480584,5413,0,0
16.4977192,5080,0,0
16.5148544,5209,0,0
16.5319896,5266,0,0
16.5491248,5287,0,0
16.56626,5251,0,0
16.5833952,5329,0,0
16.6005304,5355,0,0
16.6176656,5256,0,0
16.6348008,5225,0,0
16.651936,5235,0,0
16.6690712,5293,0,0
16.6862064,5210,0,0
16.7033416,5163,0,0
16.7204768,5255,0,0
16.737612,5170,0,0
16.7547472,5158,0,0
16.7718824,5369,0,0
16.7890176,5213,0,0
16.8061528,5176,0,0
16.823288,5139,0,0
16.8404232,5307,0,0
16.8575584,5188,0,0
16.8746936,5186,0,0
16.8918288,5251,0,0
16.908964,5235,0,0
16.9260992,5190,0,0
16.9432344,5227,0,0
16.9603696,5347,0,0
16.9775048,5319,0,0
16.99464,5261,0,0
17.0117752,5129,0,0
17.0289104,5262,0,0
17.0460456,5193,0,0
17.0631808,5223,0,0
17.080316,5224,0,0
17.0974512,5101,0,0
17.1145864,5120,0,0
17.1317216,5127,0,0
17.1488568,5259,0,0
17.165992,5210,0,0
17.1831272,5166,0,0
17.2002624,5129,0,0
17.2173976,5202,0,0
17.2345328,5204,0,0
17.251668,5131,0,0
17.2688032,5171,0,0
17.2859384,5034,0,0
17.3030736,5322,0,0
17.3202088,5083,0,0
17.337344,5212,0,0
17.3544792,5143,0,0
17.3716144,5200,0,0
17.3887496,5163,0,0
17.4058848,5259,0,0
17.42302,5310,0,0
17.4401552,5108,0,0
17.4572904,5128,0,0
